iter,h,r,c,a
992,538,13,55,10480
993,538,13,57,10480
994,539,13,57,10473
995,544,13,58,10474
996,545,13,59,10482
997,548,13,59,10487
998,550,13,59,10494
999,550,13,62,10493
1000,549,13,62,10490
1001,549,13,63,10476
1002,548,13,64,10476
1003,547,13,64,10479
1004,547,13,64,10483
1005,547,13,65,10485
1006,550,13,65,10480
1007,551,13,66,10487
1008,554,13,66,10499
1009,558,13,66,10499
1010,557,13,68,10493
1011,559,13,68,10494
1012,560,13,68,10493
1013,562,13,68,10508
1014,562,13,69,10509
1015,560,13,70,10504
1016,561,13,71,10500
1017,560,13,71,10502
1018,561,13,71,10503
1019,561,13,74,10501
1020,561,13,74,10496
1021,559,13,74,10500
1022,563,13,74,10510
1023,564,13,74,10515
1024,564,13,74,10501
1025,563,14,74,10490
1026,566,14,74,10495
1027,566,14,74,10495
1028,566,14,74,10497
1029,567,15,74,10488
1030,566,15,75,10493
1031,567,15,75,10492
1032,564,15,76,10491
1033,564,14,76,10481
1034,564,13,76,10489
1035,565,13,76,10493
1036,568,13,76,10498
1037,571,13,76,10498
1038,574,13,76,10496
1039,578,13,76,10502
1040,576,13,76,10514
1041,577,14,77,10513
1042,579,14,76,10523
1043,583,14,76,10516
1044,583,14,76,10523
1045,583,14,76,10531
1046,583,14,77,10524
1047,581,14,78,10526
1048,583,14,78,10533
1049,587,15,78,10534
1050,589,15,79,10535
1051,590,15,81,10536
1052,594,15,81,10541
1053,597,15,83,10539
1054,598,15,83,10539
1055,598,16,84,10542
1056,602,16,86,10540
1057,602,16,86,10540
1058,604,16,87,10537
1059,604,16,88,10536
1060,609,16,88,10541
1061,610,16,89,10546
1062,612,16,90,10545
1063,617,16,91,10548
1064,617,16,91,10559
1065,617,16,92,10563
1066,618,16,93,10559
1067,617,16,94,10559
1068,615,16,95,10558
1069,613,16,95,10564
1070,612,16,95,10571
1071,613,16,95,10578
1072,611,16,95,10587
1073,612,16,95,10582
1074,611,16,95,10595
1075,610,16,95,10585
1076,612,16,96,10592
1077,612,16,96,10592
1078,612,16,96,10597
1079,612,16,96,10603
1080,612,16,97,10599
1081,613,16,97,10590
1082,616,16,97,10597
1083,617,16,97,10596
1084,617,16,97,10597
1085,618,16,97,10597
1086,617,16,97,10595
1087,621,16,97,10601
1088,622,16,97,10601
1089,624,16,97,10593
1090,623,16,97,10588
1091,623,16,97,10584
1092,625,16,98,10594
1093,628,16,100,10600
1094,628,16,100,10602
1095,629,16,100,10605
1096,630,16,101,10611
1097,633,16,101,10616
1098,634,16,101,10624
1099,637,16,102,10624
1100,640,16,102,10630
1101,639,16,103,10640
1102,639,16,103,10643
1103,639,16,103,10641
1104,640,16,103,10630
1105,641,16,105,10631
1106,641,16,105,10640
1107,643,16,108,10627
1108,642,16,108,10634
1109,642,16,108,10632
1110,649,16,110,10636
1111,649,16,112,10642
1112,648,16,113,10640
1113,647,16,113,10637
1114,645,16,115,10647
1115,647,16,116,10646
1116,647,16,117,10638
1117,648,16,118,10646
1118,648,16,118,10654
1119,648,16,119,10653
1120,648,16,121,10660
1121,649,16,121,10662
1122,650,16,123,10657
1123,650,16,123,10653
1124,655,16,123,10657
1125,656,16,124,10661
1126,662,16,124,10651
1127,661,16,124,10670
1128,662,16,124,10671
1129,664,16,124,10667
1130,668,16,125,10665
1131,669,16,125,10668
1132,668,16,125,10663
1133,669,16,125,10669
1134,670,16,125,10668
1135,669,16,126,10665
1136,670,16,126,10668
1137,671,16,126,10663
1138,673,16,126,10669
1139,673,16,126,10675
1140,673,16,126,10681
1141,675,16,126,10696
1142,677,16,126,10705
1143,676,16,127,10701
1144,675,16,127,10703
1145,675,16,127,10702
1146,676,16,127,10706
1147,677,16,127,10705
1148,676,16,127,10715
1149,676,16,128,10711
1150,678,16,129,10709
1151,677,16,129,10703
1152,678,16,130,10708
1153,681,16,130,10708
1154,680,15,131,10706
1155,682,15,131,10707
1156,685,15,133,10709
1157,684,15,133,10707
1158,685,15,133,10705
1159,687,15,133,10701
1160,690,15,135,10691
1161,691,15,135,10694
1162,692,15,135,10681
1163,692,15,135,10675
1164,692,15,137,10676
1165,694,15,138,10686
1166,694,15,138,10691
1167,695,15,139,10698
1168,696,15,141,10689
1169,700,15,142,10694
1170,700,15,144,10694
1171,702,15,144,10698
1172,702,15,147,10702
1173,702,15,148,10701
1174,704,15,149,10692
1175,701,15,150,10694
1176,698,15,151,10704
1177,696,15,151,10705
1178,698,15,152,10711
1179,703,16,152,10720
1180,705,16,152,10725
1181,707,16,152,10721
1182,707,17,152,10731
1183,708,17,152,10734
1184,710,17,152,10740
1185,715,16,154,10736
1186,718,16,154,10734
1187,719,16,155,10731
1188,720,16,157,10725
1189,724,16,157,10726
1190,725,16,157,10730
1191,728,17,157,10727
1192,730,17,157,10732
1193,730,17,157,10730
1194,732,17,157,10740
1195,733,17,157,10747
1196,734,17,157,10749
1197,738,17,157,10751
1198,739,17,158,10757
1199,739,17,158,10760
1200,742,17,158,10764
1201,740,17,158,10761
1202,742,17,158,10753
1203,741,17,158,10757
1204,744,17,160,10751
1205,743,17,160,10753
1206,746,18,161,10759
1207,748,18,161,10761
1208,750,18,162,10766
1209,752,19,162,10766
1210,757,19,163,10768
1211,758,18,163,10774
1212,761,18,163,10772
1213,764,18,164,10768
1214,766,18,164,10764
1215,769,18,164,10761
1216,772,18,165,10756
1217,774,18,167,10756
1218,775,18,167,10757
1219,775,18,169,10766
1220,777,18,170,10763
1221,778,18,172,10780
1222,782,18,173,10780
1223,783,18,173,10788
1224,783,18,173,10781
1225,783,18,175,10779
1226,784,18,178,10775
1227,786,18,182,10768
1228,787,18,182,10760
1229,789,18,184,10760
1230,794,18,186,10760
1231,796,18,186,10759
1232,795,18,186,10761
1233,795,18,186,10755
1234,799,18,187,10770
1235,800,18,187,10757
1236,803,18,187,10751
1237,804,18,189,10752
1238,804,18,189,10767
1239,805,18,189,10749
1240,807,18,189,10746
1241,806,18,189,10738
1242,804,18,189,10734
1243,806,18,189,10725
1244,808,18,190,10726
1245,810,18,190,10721
1246,812,18,191,10724
1247,815,18,191,10722
1248,814,18,191,10722
1249,816,18,192,10716
1250,817,18,192,10719
1251,818,18,193,10716
1252,820,18,193,10714
1253,823,18,194,10713
1254,825,18,194,10706
1255,826,18,194,10701
1256,827,18,195,10700
1257,827,18,196,10689
1258,828,18,197,10684
1259,827,18,198,10674
1260,829,18,199,10679
1261,830,18,199,10673
1262,831,18,201,10656
1263,831,18,201,10644
1264,834,18,201,10646
1265,837,18,201,10652
1266,835,18,202,10649
1267,837,18,203,10651
1268,837,18,203,10650
1269,842,18,204,10643
1270,841,18,205,10648
1271,843,18,205,10654
1272,845,18,206,10663
1273,847,18,207,10665
1274,849,18,207,10669
1275,853,18,208,10666
1276,856,18,207,10660
1277,856,18,209,10663
1278,859,18,212,10649
1279,860,18,213,10637
1280,861,18,214,10638
1281,862,18,216,10642
